name,description
Carlton Hotel Singapore,"The beautiful gym at Carlton Hotel Singapore offers cardio machines and an outstanding selection free weights, including barbells and dumbbells, to go along with open space for yoga and stretching. Take a virtual tour of the gym here."
Hotel Jen Beijing,"The Club on the Park gymnasium and aerobics studio flank either side of a pool on the 47th floor. The studio features body sonic flooring, while the gym is equipped with a complete range of Life Fitness weight training and fitness equipment.Floor-to-ceiling windows with a stunning view from 47 floors up make the Park Hyatt in Tokyo arguably the hotel gym with the best view.Cover photo by Hotel Jen Beijing."
Thompson Dallas,"The gym at the Thompson Dallas is located on the ninth floor of the hotel and is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, stairmasters, a SkiErg, Peloton bikes, an airbike, rowers, squat racks, barbells, kettlebells, dumbbells, and benches."
Hotel Crescent Court,"The fitness center at Hotel Crescent Court is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, squat racks, barbells, dumbbells, and benches."
Omni Dallas Hotel,"The spacious fitness center at the Omni Dallas Hotel is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, and free weights."
Renaissance Dallas at Plano Legacy West Hotel,"The center at the Renaissance Dallas at Plano Legacy West Hotel is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, StairMasters, weight machines, cable machines, dumbbells, kettlebells, ropes, and benches."
Sheraton Dallas Hotel,"The 6,000-square-foot fitness center at the Sheraton Dallas Hotel is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, Peloton bikes, heavy dumbbells, barbells, benches, cable machines, and weight machines."
Hilton Anatole Dallas,"The 80,000-square-foot Verandah Fitness Club at the Hilton Anatole Dallas is open from 5:30 AM to 8 PM Monday through Friday, 6:30 AM to 8 PM on Saturdays, and 6:30 AM to 7 PM on Sundays.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, cable machines, squat racks, barbells, and dumbbells."
Four Seasons Resort and Club Dallas at Las Colinas,"The massive gym at the Four Seasons Resort and Club Dallas at Las Colinas is open from 5:30 AM to 10 PM Monday through Friday and 6:30 AM to 9 PM on weekends.Equipment includes treadmills, ellipticals, Peloton bikes, an indoor track, weight machines, cable machines, barbells, dumbbells, and kettlebells."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
"The Ritz-Carlton, Atlanta","Hotels are building bigger and better gyms.Some hotels have done better than others at providing a top-notch fitness experience and we've picked ten of the best hotel gyms in Atlanta.These are the best hotel gyms in Atlanta:Loews Atlanta HotelFour Seasons Hotel AtlantaW Atlanta DowntownInterContinental BuckheadHyatt Regency AtlantaOmni Hotel at the Battery AtlantaSt. Regis AtlantaMandarin Oriental AtlantaThe Westin Buckhead AtlantaThe Ritz-Carlton, AtlantaEach hotel’s gym is evaluated by size, hours, and equipment selection. Let’s look at what each one offers.Save up to 50% on value deals in Atlanta by booking your room with our partner Booking.com. Just hit the “book your room” button."
Loews Atlanta Hotel,"Exhale at Loews Atlanta Hotel is 10,000 square feet and has a packed schedule of yoga, Core Fusion, HIIT, boot camp, and cycling classes.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, cable machines, dumbbells, barbells, and benches.Gym memberships are available."
Four Seasons Hotel Atlanta,"The fitness center at the Four Seasons Hotel Atlanta is open from 7 am to 8 pm daily.Gym equipment includes treadmills, elliptical machines, Peloton bikes, weight machines, dumbbells, barbells, kettlebells, and benches."
W Atlanta Downtown,"The 1,700-square-foot FIT gym at W Atlanta Downtown is well-equipped with multiple cardio machines, weight machines, dumbbells, and boxing equipment.The floor-to-ceiling windows provide plenty of light to create a high-energy environment and offer fantastic views of downtown Atlanta."
InterContinental Buckhead Atlanta,"The state-of-the-art fitness center at the InterContinental Buckhead Atlanta is equipped with treadmills, lifecycle bikes, Stairmasters, elliptical trainers, free-weights, 47"" LCD HDTVs and locker rooms."
Omni Hotel at the Battery Atlanta,"The fitness center at the Omni Hotel at the Battery Atlanta is open 24 hours a day and has floor-to-ceiling windows, allowing you to enjoy a beautiful view of SunTrust Park, the home of the Atlanta Braves.Gym equipment includes treadmills, ellipticals, spin bikes, a rower, weight machines, dumbbells, barbells, and benches."
The St. Regis Atlanta,"Located on the 7th floor of The St. Regis Atlanta, the Athletic Club is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, a Peloton bike, a StairMaster, a rower, weight machines, cable machines, dumbbells, kettlebells, and benches."
Thompson Buckhead,"The small but well-equipped fitness center at Thompson Buckhead, one of Atlanta’s newest hotels, is open 24 hours a day, seven days a week.Gym equipment includes two different types of treadmills, elliptical machines, Peloton bikes, weight machines, cable machines, dumbbells, and kettlebells."
"The Ritz-Carlton, Atlanta","The Ritz-Carlton, Atlanta is located in downtown Atlanta and the spacious fitness center located on the fourth floor was recently renovated.Gym equipment includes Peloton bikes, treadmills, elliptical machines, a rower, weight machines, dumbbells, kettlebells, and benches."
Sindhorn Kempinski Hotel Bangkok,"The fitness center at the Sindhorn Kempinski Hotel Bangkok is open from 6 am to 10 pm Monday-Friday and 8 am to 8 pm Saturday and Sunday.Gym equipment includes treadmills, ellipticals, bikes, weight machines, dumbbells, barbells, kettlebells, benches, a squat rack, boxing equipment, and a turf area."
Kimpton Maa-Lai Bangkok,"The fitness center at the Kimpton Maa-Lai Bangkok is open daily from 6 am to 10 pm.Gym equipment includes treadmills, ellipticals, bikes, a rower, weight machines, dumbbells, barbells, kettlebells, benches, and a squat rack."
The Siam Hotel,"The spacious and well-equipped fitness center at The Siam Hotel is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, bikes, weight machines, dumbbells, benches, and a Muay Thai training area."
The Peninsula Bangkok,"The fitness center at The Peninsula Bangkok is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, bikes, weight machines, kettlebells, dumbbells, and benches.Stay updated on the latest in Bangkok before you book your trip."
Novotel Bangkok on Siam Square,"The fitness center at the Novotel Bangkok on Siam Square is located on the fourth floor and is open daily from 6 am to 10 pm.Gym equipment includes treadmills, ellipticals, bikes, weight machines, dumbbells, barbells, and benches."
Amari Watergate Bangkok,"FIT Centre at the Amari Watergate Bangkok is a spacious fitness center that’s open from 6 a.m. to 10 p.m.The gym is loaded with free weights, including barbells and heavy dumbbells, as well as benches, cable machines, weight machines, and cardio machines. There are also group classes in yoga and boxing."
"The Standard, Bangkok Mahanakhon","The fitness center at The Standard, Bangkok Mahanakhon is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, weight machines, dumbbells, barbells, benches, and a squat rack.Class and gym memberships are available."
Hutton Hotel,"The state-of-the-art fitness center at Hutton Hotel is open 24/7.Gym equipment includes treadmills, elliptical machines, Peloton bikes, dumbbells, kettlebells, TRX training straps, and foam rollers."
Omni Nashville Hotel,"The 5,500-square-foot fitness center at Omni Nashville Hotel is open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, free weights, benches, a rower, and a leg press."
Nashville Marriott at Vanderbilt University,"The 2,000-square-foot fitness center at the Nashville Marriott at Vanderbilt University is open 24 hours a day and offers views of Vanderbilt Stadium.Gym equipment includes treadmills, elliptical machines, a rower, weight machines, cable machines, dumbbells, kettlebells, and benches."
Moxy Nashville Downtown,"The state-of-the-art fitness center at the Moxy Nashville Downtown is open 24/7 and well-equipped with a wide variety of equipment.Gym equipment includes treadmills, ellipticals, a stationary bike, a cable machine, dumbbells, barbells, benches, pull-up bars, TRX training straps, battle ropes, and a boxing bag."
Cambria Nashville Downtown Hotel,"The fitness center at the Cambria Nashville Downtown Hotel is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, slam balls, suspension trainers, battle ropes, dumbbells, kettlebells, and pull-up bars."
Gaylord Opryland Resort and Convention Center,"The 3,500-square-foot fitness center at Gaylord Opryland Resort and Convention Center is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, weight machines, cable machines, dumbbells, barbells, and benches."
W Nashville,"The fitness center at the W Nashville is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, elliptical machines, Peloton bikes, a rower, a StairMaster, weight machines, dumbbells, kettlebells, gymnastics rings, and boxing equipment.If hotel gyms aren’t your thing, consider some of these gym memberships that are good for traveling."
Boston Park Plaza,"The 20,000-square-foot Lynx Fitness Club is located at the Boston Park Plaza and is open to guests of the hotel.The gym features treadmills, ellipticals, stationary bikes (including Peloton bikes), Concept2 rowing machines, Assault bikes, a SkiErg, weight machines, dumbbells, barbells, kettlebells, benches, gymnastics rings, and a turf area with a Rogue sled.For those looking for group fitness, Lynx offers 55+ group classes per week including Yoga, HIIT, Barre, Tabata, Bootcamp, Boxing, and Treadmill Training. Gym memberships are available."
Omni Parker House,"The fitness center at Omni Parker House is open 24/7.Gym equipment includes weight machines, ellipticals, stationary bikes (including Peloton), a StairMaster, treadmills, dumbbells, kettlebells, and benches."
Boston Harbor Hotel,"The fitness center at Boston Harbor Hotel is open Monday to Friday, 5:30 a.m. to 9:00 p.m., Saturday, 7:00 a.m. to 9:00 p.m., and on Sunday from 7:00 a.m. to 8:00 p.m.Gym equipment includes treadmills, ellipticals, a StairMaster, weight machines, dumbbells, and benches."
InterContinental Boston,"SPA InterContinental Boston is over 6,000 square feet and its fitness center is open 24/7.The gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, kettlebells, a rowing machine, weight machines, and Rogue boxes."
Hyatt Regency Boston,"Hyatt Regency Boston’s StayFit Gym is a modern fitness center that offers treadmills, stationary bikes, elliptical machines, rowing machines, weight machines, dumbbells, kettlebells, and battle ropes.If you prefer running or biking outside, the concierge will provide you with maps of local running and biking paths."
Four Seasons Hotel Boston,"The newly-renovated fitness center at the Four Seasons Hotel in downtown Boston is open 24 hours and is equipped with treadmills, stationary bikes, elliptical trainers, TRX straps, dumbbells, benches, barbells, weight machines, and kettlebells.The Four Seasons Hotel Boston has also partnered with performance lifestyle brand TB12, co-founded by Tom Brady, to add a football-inspired turf area for functional training and a team of personal trainers from Brady’s company."
"The Westin Copley Place, Boston","The spacious fitness studio at The Westin Copley Place, Boston is open 24 hours a day and features treadmills, ellipticals, stationary bikes (including Peloton bikes), weight machines, dumbbells, kettlebells, TRX, benches, a cable machine with pull-up bars, boot camp classes."
Residence Inn Boston Cambridge,"The fitness center at the Residence Inn Boston Cambridge is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, Peloton bikes, a StairMaster, dumbbells, kettlebells, and benches."
JW Marriott Austin,"The fitness center at the JW Marriott Austin is open 24 hours a day, 7 days a week.Equipment in the JW Marriott Austin fitness center includes treadmills, spin bikes, ellipticals, dumbbells (up to 50 pounds), kettlebells, barbells, benches, weight machines, and a power rack."
The Westin Austin Downtown,"The WestinWORKOUT Fitness Studio at The Westin Austin Downtown is open 24 hours a day, 7 days a week.Equipment includes cardio machines, weight machines, dumbbells, kettlebells, TRX straps and medicine balls, and a Peloton bike.Refuel post-workout with a power snack and vitamin-filled juice or enjoy a rooftop yoga class."
W Austin,"The 3,600 square-foot FIT gym at the W Austin is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, an air bike, a StairMaster, weight machines, barbells, dumbbells, kettlebells, a squat rack, and Peloton bikes."
Omni Barton Creek Resort and Spa,"The 11,000-square-foot  fitness center at the Omni Barton Creek Resort and Spa is open from 5 am to 9:30 pm Monday through Friday and 6 am to 9 pm on Saturday and Sunday.Equipment includes treadmills, Peloton bikes, weight machines, dumbbells, kettlebells, barbells, benches, a squat rack, and a turf area."
The Westin Austin at The Domain,"The WestinWORKOUT Fitness Studio at The Westin Austin at The Domain is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, Peloton bikes, weight machines, a cable machine with pull-up bars, dumbbells, and benches."
Four Seasons Hotel Austin,"The fitness center at the Four Seasons Hotel Austin is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rower, a StairMaster, weight machines, dumbbells, kettlebells, and benches."
Austin Proper Hotel,"The 2,000+-square-foot fitness center at the Austin Proper Hotel is open 24 hours a day, 7 days a week.Equipment includes treadmills, ellipticals, rowers, Peloton bikes, a StairMaster, cable machines, dumbbells, barbells, kettlebells, benches, and a squat rack."
Fairmont Austin,"The 2,800-square-foot fitness center at the Fairmont Austin is located on the sixth floor and features floor-to-ceiling windows.Gym equipment includes treadmills, ellipticals, Peloton bikes, a StairMaster, weight machines, cable machines, dumbbells, barbells, a squat rack, and benches.If hotel gyms aren’t for you, consider gym memberships like Planet Fitness, Anytime Fitness, or LA Fitness. Each gym chain offers membership perks that include access to any of its many locations."
Manchester Grand Hyatt San Diego,"The StayFit Fitness Center at the Manchester Grand Hyatt San Diego is open 24 hours a day, 7 days a week, and offers waterfront views through the gym’s floor-to-ceiling windowsGym equipment includes treadmills, ellipticals, Peloton bikes, a StairMaster, a rower, weight machines, dumbbells, barbells, and benches."
"Hotel del Coronado, Curio Collection by Hilton","The fitness center at Hotel del Coronado, Curio Collection by Hilton is open 24 hours a day, 7 days a week.Gym equipment includes Air Runner treadmills, Peloton bikes, rowers, dumbbells, barbells, squat racks, benches, and boxing equipment."
Sheraton San Diego Hotel and Marina,"The recently updated fitness center at the Sheraton San Diego Hotel and Marina is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, kettlebells, and benches."
Marriott Marquis San Diego Marina,"The fitness center at the Marriott Marquis San Diego Marina is open 24/7.Equipment includes more than 40 cardio machines (including 3 Peloton bikes), free weights (including dumbbells and kettlebells), a Smith machine, a rowing machine, weight machines, TRX, battle ropes, and a stretching area.There are also fitness classes led by certified trainers available in yoga, spinning, and Zumba, and fitness-on-demand virtual classes available 24/7 on a 120-inch screen."
Omni San Diego Hotel,"The state-of-the-art fitness center at the Omni San Diego Hotel is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, StairMasters, weight machines, benches, and dumbbells."
The Alexis Royal Sonesta Hotel,"The fitness center at The Alexis Royal Sonesta Hotel is a functional fitness enthusiast’s paradise.Gym equipment includes treadmills, a Peloton bike, an Assault Air Bike, a rowing machine, dumbbells, kettlebells, rings, monkey bars, a pull-up bar, and a rock climbing wall."
Sheraton Grand Seattle,"The fitness center at the Sheraton Grand Seattle is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, bikes, weight machines, dumbbells, and benches."
Renaissance Seattle Hotel,"The fitness center at the Renaissance Seattle Hotel is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, spin bikes, weight machines, a cable machine, dumbbells, and a pull-up bar."
Residence Inn Seattle Sea-Tac Airport,"The fitness center at the Residence Inn Seattle Sea-Tac Airport is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, weight machines, dumbbells, cable machines, a pull-up bar, benches, resistance bands, medicine balls, and mats."
Four Seasons Hotel Seattle,"The fitness center at the Four Seasons Hotel Seattle is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, kettlebells, benches, cable machines, and a pull-up bar."
DoubleTree Suites by Hilton Hotel Seattle Airport,"The fitness center at DoubleTree Suites by Hilton Hotel Seattle Airport is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, a spin bike, a Concept 2 rower, an Assault AirRunner, dumbbells, and benches."
Grand Hyatt Seattle,"The 3,800-square-foot StayFit fitness center at the Grand Hyatt Seattle is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, barbells, benches, stability balls, medicine balls, and jump ropes."
Hyatt Regency Seattle,"The StayFit gym at the Hyatt Regency Seattle is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, a rowing machine, cable machines, pull-up bars, a Smith machine, dumbbells, kettlebells, and benches."
Hyatt at Olive 8,"The spacious StayFit gym at Hyatt at Olive 8 is open 24 hours a day, seven days a weekGym equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, barbells, benches, a cable machine, and a pull-up bar."
Omni Houston Hotel,"The fitness center at the Omni Houston Hotel is open 24 hours a day, seven days a week.Gym equipment includes weight machines, barbells, benches, dumbbells, kettlebells, and cardio machines, including a Peloton bike and Concept2 rower."
JW Marriott Houston by the Galleria,"The fitness center at the JW Marriott Houston by the Galleria is open 24 hours a day, seven days a week.The gym is equipped with cardio machines, weight machines, dumbbells, barbells, benches, and a squat rack."
Marriott Marquis Houston,"The fitness center at the Marriott Marquis Houston is open 24 hours a day, seven days a week.Gym equipment includes treadmills, stationary bikes, a StairMaster, weight machines, kettlebells, dumbbells, a cable machine, a Smith machine, and a leg press."
The Houstonian Hotel,"The Houstonian Hotel has been a pioneer in the hotel gym world, opening its 125,000-square-foot Health Club back in 1980.Guests can enjoy access to 300-plus cardio and strength machines, a staff of exercise and nutrition specialists, indoor running tracks, tennis and racquetball courts, a pool, a yoga studio, and studios for classes."
Houston Airport Marriott at George Bush Intercontinental,"We consider it important to include hotels that are close to area airports, so here you have the fitness center at the Houston Airport Marriott at George Bush Intercontinental.The fitness center is open 24 hours a day, seven days a week, and features a wide range of cardio machines and weight machines, as well as free weights."
Hyatt Regency Houston/Galleria,"The StayFit Gym at the Hyatt Regency Houston/Galleria is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, cable machines, dumbbells, and benches."
Hilton Americas-Houston Hotel,"The fitness center in the Skyline Spa and Health Club at the Hilton Americas-Houston Hotel is open 24/7 and features cardio machines, weight machines, benches, dumbbells (including heavy ones), a cable machine, and a pull-up bar."
Holiday Inn Express & Suites Houston Westchase - Westheimer,"The fitness center at the Holiday Inn Express & Suites Houston Westchase - Westheimer offers a perfect place for functional fitness enthusiasts and CrossFitters to get in a workout on the go.The gym has the typical cardio machines you’d expect in a hotel gym, plus an Assault bike, dumbbells, a Concept2 rower, Plyosoft boxes, a sled, a tire, and a turf area."
Wyndham Grand Orlando Resort Bonnet Creek,"The spacious fitness center at the Wyndham Grand Orlando Resort Bonnet Creek is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, weight machines, a cable machine, a pull-up bar, dumbbells, and benches.Note: The Wyndham has a $32 a day resort fee."
Universal’s Cabana Bay Beach Resort,"The Jack LaLanne Physical Fitness Studio at Universal’s Cabana Bay Beach Resort is one of the most unique hotel fitness centers you’ll find anywhere.Open from 5 AM until midnight, this spacious gym features tributes to the fitness pioneer and treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, a cable machine, and a pull-up bar."
Hilton Orlando,"The 4,000-square-foot fitness center at the Hilton Orlando is open 24 hours a day, seven days a week.Gym equipment includes treadmills, stationary bikes, ellipticals, dumbbells, benches, a Smith machine, cable machines, and a pull-up bar."
Orlando World Center Marriott,"The fitness center at the Orlando World Center Marriott is open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, a Smith machine, a pull-up bar, and a cable machine."
Loews Sapphire Falls Resort at Universal Orlando,"The Kalina Fitness Center at the Loews Sapphire Falls Resort at Universal Orlando is spacious and well-equipped.Gym equipment includes treadmills, ellipticals, stationary bikes, a StairMaster, weight machines, a Smith machine, a cable machine, dumbbells, and benches."
Waldorf Astoria Orlando,"The 4,000-square-foot fitness center at the Waldorf Astoria Orlando is open 24/7.Gym equipment includes treadmills, ellipticals, stationary bikes, a rower, weight machines, benches, dumbbells, a cable machine, and a pull-up bar."
The Florida Hotel & Conference Center,"The spacious fitness center at The Florida Hotel & Conference Center is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, Peloton bikes, rowers, dumbbells, benches, cable machines, and weight machines."
Four Seasons Resort Orlando at Walt Disney World Resort,"The beautifully-designed and spacious fitness center at the Four Seasons Resort Orlando at Walt Disney World Resort is open 24 hours a day, 7 days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, rowers, a stair climber, weight machines, a cable machine, a pull-up bar, dumbbells, kettlebells, resistance bands, and benches.Complimentary fitness apparel and athletic shoes are available for use during your stay."
Disney’s Animal Kingdom Lodge,"The Zahanati Massage & Fitness Center at Disney’s Animal Kingdom Lodge is the best gym in a Disney resort and is open 24 hours a day, seven days a week.Gym equipment includes treadmills, ellipticals, stationary bikes, dumbbells, barbells, benches, and a Smith machine."
AC Hotel Charlotte City Center,"The fitness center at the AC Hotel Charlotte City Center is open 24 hours a day, seven days a week and features treadmills, ellipticals, a stairmaster, a stationary bike, weight machines, a cable machine with pull-up bars, benches, and dumbbells.There’s also floor-to-ceiling windows with beautiful views of Charlotte and a fitness patio for some outdoor stretching or yoga."
Hilton Charlotte Center City,"Guests of the Hilton Charlotte Center City have complimentary access to the attached Childress Klein YMCA Health Club and its swimming pool, basketball courts, barbells, dumbbells, kettlebells, cardio machines, weight machines, cycle studio, functional fitness rig, battle ropes, Assault Bike, and much more."
Omni Charlotte Hotel,"Guests of the Omni Charlotte Hotel receive complimentary access to the 36,000 square foot Charlotte Athletic Club that’s connected to the hotel. The health club features a wide range of cardio machines, weight machines, free weights, functional fitness equipment, a cycling studio, a yoga and Pilates studio, a basketball court, a steam room, and a sauna."
The Ivey’s Hotel,"The fitness center at The Ivey’s Hotel is open 24 hours a day, seven days a week and features treadmills, a Smith machine, a cable machine with a pull-up bar, various weight machines,  benches, dumbbells, medicine balls, and resistance bands."
Charlotte Marriott City Center,"The fitness center at the Charlotte Marriott City Center is open 24 hours a day, seven days a week and features treadmills, ellipticals, a stairmaster, weight machines, cable machines, pull-up bars, battle ropes, TRX suspension trainer, dumbbells, kettlebells, benches, and multiple interactive classes offered in a studio with a video wall."
"The Ballantyne, a Luxury Collection Hotel, Charlotte","The fitness center at the The Ballantyne, a Luxury Collection Hotel, Charlotte is 24 hours a day, seven days a week and features treadmills, ellipticals, stationary bikes, medicine balls, resistance bands, a punching bag, kettlebells, dumbbells, barbells, weight machines, and benches.Cover photo by Kimpton Tryon Park Hotel."
"The Ballantyne, a Luxury Collection Hotel, Charlotte","The fitness center at the The Ballantyne, a Luxury Collection Hotel, Charlotte is 24 hours a day, seven days a week and features treadmills, ellipticals, stationary bikes, medicine balls, resistance bands, a punching bag, kettlebells, dumbbells, barbells, weight machines, and benches.Cover photo by Kimpton Tryon Park Hotel."
Philadelphia Airport Marriott,"The fitness center at the Philadelphia Airport Marriott is open 24 hours a day, seven days a week and features cardio machines, weight machines, a stairmaster, a cable machine with a pull-up bar, benches, and dumbbells."
Philadelphia Marriott Downtown,"The spacious fitness center at the Philadelphia Marriott Downtown is open 24 hours a day and features treadmills, ellipticals, stationary bikes, a stairmaster, weight machines, a cable machine with a pull-up bar, benches, dumbbells, medicine balls, and mats for stretching."
Club Quarters Hotel,"At the Club Quarters Hotel, you’ll find a gym stocked with cardio equipment and free weights, including a Peloton bike. You’ll also find a yoga mat and resistance bands in each room if you don’t feel like hitting the gym but still want to get a workout in."
Residence Inn Philadelphia Center City,"The fitness center at the Residence Inn Philadelphia Center City features treadmills, ellipticals, stationary bikes, benches, dumbbells (including heavy ones), and weight machines."
Sheraton Suites Philadelphia Airport,"The fitness center at the Sheraton Suites Philadelphia Airport is open 24 hours a day and features treadmills, stationary bikes, ellipticals, a cable machine with a pull-up bar, benches, dumbbells, stability balls, and mats."
Loews Philadelphia Hotel,"This is a weightlifter’s hotel gym. The 2,000 square-foot fitness center at Loews Philadelphia Hotel features dumbbells, barbells, kettlebells, benches, a boxing bag, treadmills, ellipticals, and stationary bikes, including two Peloton bikes. The gym’s hours are 5am to 9:30pm."
The Westin Denver Downtown,"The WestinWORKOUT Studio at The Westin Denver Downtown is open from 5 am to 11 pm.Gym equipment includes treadmills, ellipticals, Peloton bikes, a rowing machine, dumbbells, benches, cable machines, a pull-up bar, and a TRX Training Zone with kettlebells, medicine balls, and suspension trainers."
Sheraton Denver Downtown Hotel,"The spacious fitness center at the Sheraton Denver Downtown Hotel is open 24 hours a day.Equipment includes treadmills, ellipticals, Peloton bikes, weight machines, dumbbells, barbells, and benches.This is a weightlifter’s hotel gym."
